,CRIM,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT,MEDV
274,0.05644,6.41,0.447,6.758,32.9,4.0776,4,254,17.6,3.53,32.4
65,0.03584,3.37,0.398,6.29,17.8,6.6115,4,337,16.1,4.67,23.5
416,10.8342,18.1,0.679,6.782,90.8,1.8195,24,666,20.2,25.79,7.5
361,3.83684,18.1,0.77,6.251,91.1,2.2955,24,666,20.2,14.19,19.9
189,0.0837,3.44,0.437,7.185,38.9,4.5667,5,398,15.2,5.39,34.9
324,0.34109,7.38,0.493,6.415,40.1,4.7211,5,287,19.6,6.12,25.0
399,9.91655,18.1,0.693,5.852,77.8,1.5004,24,666,20.2,29.97,6.3
48,0.25387,6.91,0.448,5.399,95.3,5.87,3,233,17.9,30.81,14.4
105,0.13262,8.56,0.52,5.851,96.7,2.1069,5,384,20.9,16.47,19.5
20,1.25179,8.14,0.538,5.57,98.1,3.7979,4,307,21.0,21.02,13.6
396,5.87205,18.1,0.693,6.405,96.0,1.6768,24,666,20.2,19.37,12.5
392,11.5779,18.1,0.7,5.036,97.0,1.77,24,666,20.2,25.68,9.7
195,0.01381,0.46,0.422,7.875,32.0,5.6484,4,255,14.4,2.97,50.0
44,0.12269,6.91,0.448,6.069,40.0,5.7209,3,233,17.9,9.55,21.2
200,0.01778,1.47,0.403,7.135,13.9,7.6534,3,402,17.0,4.45,32.9
71,0.15876,10.81,0.413,5.961,17.5,5.2873,4,305,19.2,9.88,21.7
158,1.34284,19.58,0.605,6.066,100.0,1.7573,5,403,14.7,6.43,24.3
232,0.57529,6.2,0.507,8.337,73.3,3.8384,8,307,17.4,2.47,41.7
97,0.12083,2.89,0.445,8.069,76.0,3.4952,2,276,18.0,4.21,38.7
176,0.07022,4.05,0.51,6.02,47.2,3.5549,5,296,16.6,10.11,23.2
125,0.16902,25.65,0.581,5.986,88.4,1.9929,2,188,19.1,14.81,21.4
433,5.58107,18.1,0.713,6.436,87.9,2.3158,24,666,20.2,16.22,14.3
69,0.12816,6.07,0.409,5.885,33.0,6.498,4,345,18.9,8.79,20.9
24,0.75026,8.14,0.538,5.924,94.1,4.3996,4,307,21.0,16.3,15.6
108,0.12802,8.56,0.52,6.474,97.1,2.4329,5,384,20.9,12.27,19.8
252,0.08221,5.86,0.431,6.957,6.8,8.9067,7,330,19.1,3.53,29.6
161,1.46336,19.58,0.605,7.489,90.8,1.9709,5,403,14.7,1.73,50.0
380,88.9762,18.1,0.671,6.968,91.9,1.4165,24,666,20.2,17.21,10.4
455,4.75237,18.1,0.713,6.525,86.5,2.4358,24,666,20.2,18.13,14.1
447,9.92485,18.1,0.74,6.251,96.6,2.198,24,666,20.2,16.44,12.6
57,0.01432,1.32,0.411,6.816,40.5,8.3248,5,256,15.1,3.95,31.6
293,0.08265,13.92,0.437,6.127,18.4,5.5027,4,289,16.0,8.58,23.9
128,0.32543,21.89,0.624,6.431,98.8,1.8125,4,437,21.2,15.39,18.0
410,51.1358,18.1,0.597,5.757,100.0,1.413,24,666,20.2,10.11,15.0
328,0.06617,3.24,0.46,5.868,25.8,5.2146,4,430,16.9,9.97,19.3
61,0.17171,5.13,0.453,5.966,93.4,6.8185,8,284,19.7,14.44,16.0
15,0.62739,8.14,0.538,5.834,56.5,4.4986,4,307,21.0,8.47,19.9
413,28.6558,18.1,0.597,5.155,100.0,1.5894,24,666,20.2,20.08,16.3
109,0.26363,8.56,0.52,6.229,91.2,2.5451,5,384,20.9,15.55,19.4
85,0.05735,4.49,0.449,6.63,56.1,4.4377,3,247,18.5,6.53,26.6
78,0.05646,12.83,0.437,6.232,53.7,5.0141,5,398,18.7,12.34,21.2
237,0.51183,6.2,0.507,7.358,71.6,4.148,8,307,17.4,4.73,31.5
331,0.05023,6.06,0.4379,5.706,28.4,6.6407,1,304,16.9,12.43,17.1
493,0.17331,9.69,0.585,5.707,54.0,2.3817,6,391,19.2,12.01,21.8
180,0.06588,2.46,0.488,7.765,83.3,2.741,3,193,17.8,7.56,39.8
62,0.11027,5.13,0.453,6.456,67.8,7.2255,8,284,19.7,6.73,22.2
260,0.54011,3.97,0.647,7.203,81.8,2.1121,5,264,13.0,9.59,33.8
248,0.16439,5.86,0.431,6.433,49.1,7.8265,7,330,19.1,9.52,24.5
112,0.12329,10.01,0.547,5.913,92.9,2.3534,6,432,17.8,16.21,18.8
139,0.54452,21.89,0.624,6.151,97.9,1.6687,4,437,21.2,18.46,17.8
340,0.06151,5.19,0.515,5.968,58.5,4.8122,5,224,20.2,9.29,18.7
178,0.06642,4.05,0.51,6.86,74.4,2.9153,5,296,16.6,6.92,29.9
464,7.83932,18.1,0.655,6.209,65.4,2.9634,24,666,20.2,13.22,21.4
246,0.33983,5.86,0.431,6.108,34.9,8.0555,7,330,19.1,9.16,24.3
338,0.03306,5.19,0.515,6.059,37.3,4.8122,5,224,20.2,8.51,20.6
227,0.41238,6.2,0.504,7.163,79.9,3.2157,8,307,17.4,6.36,31.6
398,38.3518,18.1,0.693,5.453,100.0,1.4896,24,666,20.2,30.59,5.0
258,0.66351,3.97,0.647,7.333,100.0,1.8946,5,264,13.0,7.79,36.0
12,0.09378,7.87,0.524,5.889,39.0,5.4509,5,311,15.2,15.71,21.7
257,0.61154,3.97,0.647,8.704,86.9,1.801,5,264,13.0,5.12,50.0
136,0.32264,21.89,0.624,5.942,93.5,1.9669,4,437,21.2,16.9,17.4
83,0.03551,4.86,0.426,6.167,46.7,5.4007,4,281,19.0,7.51,22.9
454,9.51363,18.1,0.713,6.728,94.1,2.4961,24,666,20.2,18.71,14.9
208,0.13587,10.59,0.489,6.064,59.1,4.2392,4,277,18.6,14.66,24.4
492,0.11132,27.74,0.609,5.983,83.5,2.1099,4,711,20.1,13.35,20.1
382,9.18702,18.1,0.7,5.536,100.0,1.5804,24,666,20.2,23.6,11.3
436,14.4208,18.1,0.74,6.461,93.3,2.0026,24,666,20.2,18.05,9.6
222,0.62356,6.2,0.507,6.879,77.7,3.2721,8,307,17.4,9.93,27.5
475,6.39312,18.1,0.584,6.162,97.4,2.206,24,666,20.2,24.1,13.3
55,0.01311,1.22,0.403,7.249,21.9,8.6966,5,226,17.9,4.81,35.4
362,3.67822,18.1,0.77,5.362,96.2,2.1036,24,666,20.2,10.19,20.8
287,0.03871,5.32,0.405,6.209,31.3,7.3172,6,293,16.6,7.14,23.2
223,0.6147,6.2,0.507,6.618,80.8,3.2721,8,307,17.4,7.6,30.1
251,0.21409,5.86,0.431,6.438,8.9,7.3967,7,330,19.1,3.59,24.8
439,9.39063,18.1,0.74,5.627,93.9,1.8172,24,666,20.2,22.88,12.8
363,4.22239,18.1,0.77,5.803,89.0,1.9047,24,666,20.2,14.64,16.8
459,6.80117,18.1,0.713,6.081,84.4,2.7175,24,666,20.2,14.7,20.0
209,0.43571,10.59,0.489,5.344,100.0,3.875,4,277,18.6,23.09,20.0
481,5.70818,18.1,0.532,6.75,74.9,3.3317,24,666,20.2,7.74,23.7
478,10.233,18.1,0.614,6.185,96.7,2.1705,24,666,20.2,18.03,14.6
8,0.21124,7.87,0.524,5.631,100.0,6.0821,5,311,15.2,29.93,16.5
256,0.01538,3.75,0.394,7.454,34.2,6.3361,3,244,15.9,3.11,44.0
91,0.03932,3.41,0.489,6.405,73.9,3.0921,2,270,17.8,8.2,22.0
197,0.04666,1.52,0.404,7.107,36.6,7.309,2,329,12.6,8.61,30.3
432,6.44405,18.1,0.584,6.425,74.8,2.2004,24,666,20.2,12.03,16.1
415,18.0846,18.1,0.679,6.434,100.0,1.8347,24,666,20.2,29.05,7.2
28,0.77299,8.14,0.538,6.495,94.4,4.4547,4,307,21.0,12.8,18.4
313,0.26938,9.9,0.544,6.266,82.8,3.2628,4,304,18.4,7.9,21.6
5,0.02985,2.18,0.458,6.43,58.7,6.0622,3,222,18.7,5.21,28.7
298,0.06466,2.24,0.4,6.345,20.1,7.8278,5,358,14.8,4.97,22.5
304,0.05515,2.18,0.472,7.236,41.1,4.022,7,222,18.4,6.93,36.1
491,0.10574,27.74,0.609,5.983,98.8,1.8681,4,711,20.1,18.07,13.6
449,7.52601,18.1,0.713,6.417,98.3,2.185,24,666,20.2,19.31,13.0
